Timestamp,Milliseconds,centimeters
2019-10-27 21:53:32,641001,8.0
2019-10-27 21:53:33,642002,8.0
2019-10-27 21:53:34,643002,8.0
2019-10-27 21:53:35,644001,8.0
2019-10-27 21:53:36,645002,8.0
2019-10-27 21:53:37,646001,8.0
2019-10-27 21:53:38,647001,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678195,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:09,678196,8.0
2019-10-27 21:54:10,679001,8.0
2019-10-27 21:54:11,680002,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,688914,8.0
2019-10-27 21:54:20,689002,8.0
2019-10-27 21:54:21,690001,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:38,707260,8.0
2019-10-27 21:54:39,708002,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
2019-10-27 21:54:54,723583,8.0
